"Year","Country","Giver","Score"
2009,"Lithuania","Albania",0
2009,"Israel","Albania",0
2009,"France","Albania",2
2009,"Sweden","Albania",1
2009,"Croatia","Albania",0
2009,"Portugal","Albania",0
2009,"Iceland","Albania",6
2009,"Greece","Albania",12
2009,"Armenia","Albania",0
2009,"Russia","Albania",0
2009,"Azerbaijan","Albania",4
2009,"Bosnia-Herzegovina","Albania",5
2009,"Moldova","Albania",0
2009,"Malta","Albania",0
2009,"Estonia","Albania",0
2009,"Denmark","Albania",0
2009,"Germany","Albania",3
2009,"Turkey","Albania",10
2009,"Norway","Albania",7
2009,"Ukraine","Albania",0
2009,"Romania","Albania",0
2009,"United Kingdom","Albania",8
2009,"Finland","Albania",0
2009,"Spain","Albania",0
2008,"Romania","Albania",0
2008,"United Kingdom","Albania",0
2008,"Germany","Albania",0
2008,"Armenia","Albania",2
2008,"Bosnia-Herzegovina","Albania",0
2008,"Israel","Albania",4
2008,"Finland","Albania",0
2008,"Croatia","Albania",0
2008,"Poland","Albania",0
2008,"Iceland","Albania",0
2008,"Turkey","Albania",10
2008,"Portugal","Albania",0
2008,"Latvia","Albania",0
2008,"Sweden","Albania",3
2008,"Denmark","Albania",0
2008,"Georgia","Albania",0
2008,"Ukraine","Albania",8
2008,"France","Albania",0
2008,"Azerbaijan","Albania",0
2008,"Greece","Albania",12
2008,"Spain","Albania",1
2008,"Serbia","Albania",5
2008,"Russia","Albania",6
2008,"Norway","Albania",7
2007,"Bosnia-Herzegovina","Albania",8
2007,"Spain","Albania",12
2007,"Belarus","Albania",2
2007,"Ireland","Albania",5
2007,"Finland","Albania",0
2007,"Macedonia","Albania",3
2007,"Slovenia","Albania",0
2007,"Hungary","Albania",0
2007,"Lithuania","Albania",0
2007,"Greece","Albania",7
2007,"Georgia","Albania",0
2007,"Sweden","Albania",0
2007,"France","Albania",4
2007,"Latvia","Albania",0
2007,"Russia","Albania",0
2007,"Germany","Albania",6
2007,"Serbia","Albania",1
2007,"Ukraine","Albania",0
2007,"United Kingdom","Albania",0
2007,"Romania","Albania",0
2007,"Bulgaria","Albania",0
2007,"Turkey","Albania",10
2007,"Armenia","Albania",0
2007,"Moldova","Albania",0
2006,"Switzerland","Albania",0
2006,"Moldova","Albania",0
2006,"Israel","Albania",0
2006,"Latvia","Albania",0
2006,"Norway","Albania",0
2006,"Spain","Albania",6
2006,"Malta","Albania",1
2006,"Germany","Albania",5
2006,"Denmark","Albania",0
2006,"Russia","Albania",4
2006,"Macedonia","Albania",3
2006,"Romania","Albania",2
2006,"Bosnia-Herzegovina","Albania",12
2006,"Lithuania","Albania",0
2006,"United Kingdom","Albania",0
2006,"Greece","Albania",8
2006,"Finland","Albania",0
2006,"Ukraine","Albania",0
2006,"France","Albania",0
2006,"Croatia","Albania",0
2006,"Ireland","Albania",0
2006,"Sweden","Albania",10
2006,"Turkey","Albania",7
2006,"Armenia","Albania",0
2005,"Hungary","Albania",0
2005,"United Kingdom","Albania",0
2005,"Malta","Albania",4
2005,"Romania","Albania",5
2005,"Norway","Albania",0
2005,"Turkey","Albania",8
2005,"Moldova","Albania",0
2005,"Cyprus","Albania",7
2005,"Spain","Albania",0
2005,"Israel","Albania",3
2005,"Serbia and Montenegro","Albania",6
2005,"Denmark","Albania",0
2005,"Sweden","Albania",0
2005,"Macedonia","Albania",10
2005,"Ukraine","Albania",0
2005,"Germany","Albania",0
2005,"Croatia","Albania",2
2005,"Greece","Albania",12
2005,"Russia","Albania",0
