"Year","Country","Giver","Score"
"2009 SF2","Croatia","Albania",1
"2009 SF2","Ireland","Albania",7
"2009 SF2","Latvia","Albania",0
"2009 SF2","Serbia","Albania",0
"2009 SF2","Poland","Albania",6
"2009 SF2","Norway","Albania",8
"2009 SF2","Cyprus","Albania",0
"2009 SF2","Slovakia","Albania",4
"2009 SF2","Denmark","Albania",5
"2009 SF2","Slovenia","Albania",2
"2009 SF2","Hungary","Albania",3
"2009 SF2","Azerbaijan","Albania",0
"2009 SF2","Greece","Albania",12
"2009 SF2","Lithuania","Albania",0
"2009 SF2","Moldova","Albania",0
"2009 SF2","Ukraine","Albania",0
"2009 SF2","Estonia","Albania",0
"2009 SF2","Netherlands","Albania",10
"2008 SF2","Iceland","Albania",5
"2008 SF2","Sweden","Albania",1
"2008 SF2","Turkey","Albania",12
"2008 SF2","Ukraine","Albania",0
"2008 SF2","Lithuania","Albania",0
"2008 SF2","Switzerland","Albania",10
"2008 SF2","Czech Republic","Albania",0
"2008 SF2","Belarus","Albania",0
"2008 SF2","Latvia","Albania",0
"2008 SF2","Croatia","Albania",3
"2008 SF2","Bulgaria","Albania",0
"2008 SF2","Denmark","Albania",4
"2008 SF2","Georgia","Albania",0
"2008 SF2","Hungary","Albania",0
"2008 SF2","Malta","Albania",8
"2008 SF2","Cyprus","Albania",2
"2008 SF2","Macedonia","Albania",7
"2008 SF2","Portugal","Albania",6
"2007 SF1","Bulgaria","Albania",1
"2007 SF1","Israel","Albania",0
"2007 SF1","Cyprus","Albania",8
"2007 SF1","Belarus","Albania",4
"2007 SF1","Iceland","Albania",0
"2007 SF1","Georgia","Albania",0
"2007 SF1","Montenegro","Albania",7
"2007 SF1","Switzerland","Albania",0
"2007 SF1","Moldova","Albania",0
"2007 SF1","Netherlands","Albania",0
"2007 SF1","Denmark","Albania",0
"2007 SF1","Croatia","Albania",3
"2007 SF1","Poland","Albania",0
"2007 SF1","Serbia","Albania",2
"2007 SF1","Czech Republic","Albania",0
"2007 SF1","Portugal","Albania",0
"2007 SF1","Macedonia","Albania",10
"2007 SF1","Norway","Albania",0
"2007 SF1","Malta","Albania",6
